RC,YR,POP,USUR,USAL,UGW,UREC,URES,UIND,UTOT,UPOP,ASUR,ASAL,AGW,AREC,ATOT,ISUR,ISAL,IGW,IREC,ITOT,PSUR,PSAL,PGW,PREC,PTOT,SUR,SAL,GW,REC,ALL,PGEN,SC,SN,CC,CN
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,33,White Pine County
5,2010,749.282,61.01,0,95.51,0,141.38,0,156.52,664.63,955.15,0,648.03,1.34,1604.52,1.45,0,340.1,0,341.55,0.64,0,23.93,0,24.57,1018.25,0,1107.57,1.34,2127.16,6408.63,32,Nevada,510,Carson City City
6,2010,416.449,23.01,0,60.28,0,79.74,0,83.29,392.47,1621.44,0,242.54,3.93,1867.91,0,0,0.4,0,0.4,0.71,0,2.92,0,3.63,1645.16,0,306.14,3.93,1955.23,1477.75,4,Arizona,12,La Paz County
6,2010,416.449,23.01,0,60.28,0,79.74,0,83.29,392.47,1621.44,0,242.54,3.93,1867.91,0,0,0.4,0,0.4,0.71,0,2.92,0,3.63,1645.16,0,306.14,3.93,1955.23,1477.75,4,Arizona,15,Mohave County
6,2010,416.449,23.01,0,60.28,0,79.74,0,83.29,392.47,1621.44,0,242.54,3.93,1867.91,0,0,0.4,0,0.4,0.71,0,2.92,0,3.63,1645.16,0,306.14,3.93,1955.23,1477.75,4,Arizona,27,Yuma County
7,2010,5173.443,596.06,0,450.64,0,1036.13,0,1046.7,5097.75,1134.05,0,1132.51,113.21,2379.77,0,0,43.54,0,43.54,5.05,0,27.24,0,32.29,1735.16,0,1653.93,113.21,3502.3,41970.02,4,Arizona,13,Maricopa County
7,2010,5173.443,596.06,0,450.64,0,1036.13,0,1046.7,5097.75,1134.05,0,1132.51,113.21,2379.77,0,0,43.54,0,43.54,5.05,0,27.24,0,32.29,1735.16,0,1653.93,113.21,3502.3,41970.02,4,Arizona,19,Pima County
7,2010,5173.443,596.06,0,450.64,0,1036.13,0,1046.7,5097.75,1134.05,0,1132.51,113.21,2379.77,0,0,43.54,0,43.54,5.05,0,27.24,0,32.29,1735.16,0,1653.93,113.21,3502.3,41970.02,4,Arizona,21,Pinal County
8,2010,802.441,9.28,0,101.33,0,97.55,0,110.61,683.95,127.76,0,345.8,11.69,485.25,0,0,55.59,0,55.59,21.38,0,47.12,0,68.5,158.42,0,549.84,11.69,719.95,43221.94,4,Arizona,1,Apache County
8,2010,802.441,9.28,0,101.33,0,97.55,0,110.61,683.95,127.76,0,345.8,11.69,485.25,0,0,55.59,0,55.59,21.38,0,47.12,0,68.5,158.42,0,549.84,11.69,719.95,43221.94,4,Arizona,3,Cochise County
8,2010,802.441,9.28,0,101.33,0,97.55,0,110.61,683.95,127.76,0,345.8,11.69,485.25,0,0,55.59,0,55.59,21.38,0,47.12,0,68.5,158.42,0,549.84,11.69,719.95,43221.94,4,Arizona,5,Coconino County
8,2010,802.441,9.28,0,101.33,0,97.55,0,110.61,683.95,127.76,0,345.8,11.69,485.25,0,0,55.59,0,55.59,21.38,0,47.12,0,68.5,158.42,0,549.84,11.69,719.95,43221.94,4,Arizona,7,Gila County
8,2010,802.441,9.28,0,101.33,0,97.55,0,110.61,683.95,127.76,0,345.8,11.69,485.25,0,0,55.59,0,55.59,21.38,0,47.12,0,68.5,158.42,0,549.84,11.69,719.95,43221.94,4,Arizona,9,Graham County
8,2010,802.441,9.28,0,101.33,0,97.55,0,110.61,683.95,127.76,0,345.8,11.69,485.25,0,0,55.59,0,55.59,21.38,0,47.12,0,68.5,158.42,0,549.84,11.69,719.95,43221.94,4,Arizona,11,Greenlee County
8,2010,802.441,9.28,0,101.33,0,97.55,0,110.61,683.95,127.76,0,345.8,11.69,485.25,0,0,55.59,0,55.59,21.38,0,47.12,0,68.5,158.42,0,549.84,11.69,719.95,43221.94,4,Arizona,17,Navajo County
8,2010,802.441,9.28,0,101.33,0,97.55,0,110.61,683.95,127.76,0,345.8,11.69,485.25,0,0,55.59,0,55.59,21.38,0,47.12,0,68.5,158.42,0,549.84,11.69,719.95,43221.94,4,Arizona,23,Santa Cruz County
8,2010,802.441,9.28,0,101.33,0,97.55,0,110.61,683.95,127.76,0,345.8,11.69,485.25,0,0,55.59,0,55.59,21.38,0,47.12,0,68.5,158.42,0,549.84,11.69,719.95,43221.94,4,Arizona,25,Yavapai County
9,2010,1872.413,269.09,0,178.03,0,445.58,0,447.12,1863.2,354.33,0,67.38,2.05,423.76,0,33.1,44.82,0,77.92,0,0.47,5.87,0.51,6.85,623.42,33.57,296.1,2.56,955.65,5230.83,49,Utah,11,Davis County
9,2010,1872.413,269.09,0,178.03,0,445.58,0,447.12,1863.2,354.33,0,67.38,2.05,423.76,0,33.1,44.82,0,77.92,0,0.47,5.87,0.51,6.85,623.42,33.57,296.1,2.56,955.65,5230.83,49,Utah,23,Juab County
9,2010,1872.413,269.09,0,178.03,0,445.58,0,447.12,1863.2,354.33,0,67.38,2.05,423.76,0,33.1,44.82,0,77.92,0,0.47,5.87,0.51,6.85,623.42,33.57,296.1,2.56,955.65,5230.83,49,Utah,29,Morgan County
9,2010,1872.413,269.09,0,178.03,0,445.58,0,447.12,1863.2,354.33,0,67.38,2.05,423.76,0,33.1,44.82,0,77.92,0,0.47,5.87,0.51,6.85,623.42,33.57,296.1,2.56,955.65,5230.83,49,Utah,35,Salt Lake County
9,2010,1872.413,269.09,0,178.03,0,445.58,0,447.12,1863.2,354.33,0,67.38,2.05,423.76,0,33.1,44.82,0,77.92,0,0.47,5.87,0.51,6.85,623.42,33.57,296.1,2.56,955.65,5230.83,49,Utah,49,Utah County
